id,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
16,2022-10-31,18:30,Serie A,Matchweek 12,Mon,Away,W,3.0,1.0,Hellas Verona,3.1,0.3,67.0,24000.0,Lorenzo Pellegrini,3-5-2,Juan Sacchi,Match Report,,14.0,6.0,14.7,1.0,0.0,0.0,2023,Roma
18,2022-11-06,18:00,Serie A,Matchweek 13,Sun,Home,L,0.0,1.0,Lazio,0.5,0.6,59.0,62847.0,Lorenzo Pellegrini,3-4-3,Daniele Orsato,Match Report,,8.0,2.0,16.2,0.0,0.0,0.0,2023,Roma
19,2022-11-09,18:30,Serie A,Matchweek 14,Wed,Away,D,1.0,1.0,Sassuolo,0.7,1.2,54.0,16665.0,Gianluca Mancini,3-4-3,Giovanni Ayroldi,Match Report,,11.0,4.0,16.2,0.0,0.0,0.0,2023,Roma
20,2022-11-13,15:00,Serie A,Matchweek 15,Sun,Home,D,1.0,1.0,Torino,1.7,0.9,48.0,61168.0,Gianluca Mancini,3-4-3,Antonio Rapuano,Match Report,,12.0,4.0,19.5,0.0,0.0,1.0,2023,Roma
21,2023-01-04,16:30,Serie A,Matchweek 16,Wed,Home,W,1.0,0.0,Bologna,1.5,0.7,39.0,62092.0,Lorenzo Pellegrini,3-4-1-2,Alberto Santoro,Match Report,,13.0,3.0,19.8,0.0,1.0,1.0,2023,Roma
22,2023-01-08,20:45,Serie A,Matchweek 17,Sun,Away,D,2.0,2.0,Milan,1.2,0.9,40.0,74103.0,Lorenzo Pellegrini,3-4-3,Davide Massa,Match Report,,12.0,3.0,22.1,0.0,0.0,0.0,2023,Roma
24,2023-01-15,20:45,Serie A,Matchweek 18,Sun,Home,W,2.0,0.0,Fiorentina,0.9,0.4,52.0,61327.0,Lorenzo Pellegrini,3-4-1-2,Antonio Giua,Match Report,,10.0,4.0,13.8,0.0,0.0,0.0,2023,Roma
25,2023-01-22,18:00,Serie A,Matchweek 19,Sun,Away,W,2.0,0.0,Spezia,2.0,0.2,48.0,,Gianluca Mancini,3-4-3,Simone Sozza,Match Report,,13.0,3.0,20.3,1.0,0.0,0.0,2023,Roma
26,2023-01-29,20:45,Serie A,Matchweek 20,Sun,Away,L,1.0,2.0,Napoli,0.8,1.0,44.0,,Lorenzo Pellegrini,3-4-3,Daniele Orsato,Match Report,,11.0,3.0,16.3,0.0,0.0,0.0,2023,Roma
28,2023-02-04,18:00,Serie A,Matchweek 21,Sat,Home,W,2.0,0.0,Empoli,1.2,1.7,45.0,,Lorenzo Pellegrini,3-4-3,Federico Dionisi,Match Report,,12.0,6.0,11.9,0.0,0.0,0.0,2023,Roma
29,2023-02-11,18:00,Serie A,Matchweek 22,Sat,Away,D,1.0,1.0,Lecce,1.7,0.3,58.0,,Lorenzo Pellegrini,3-4-3,Gianluca Aureliano,Match Report,,11.0,4.0,21.0,1.0,1.0,1.0,2023,Roma
31,2023-02-19,20:45,Serie A,Matchweek 23,Sun,Home,W,1.0,0.0,Hellas Verona,0.8,0.4,47.0,,Gianluca Mancini,3-4-3,Simone Sozza,Match Report,,9.0,5.0,17.7,1.0,0.0,0.0,2023,Roma
33,2023-02-28,18:30,Serie A,Matchweek 24,Tue,Away,L,1.0,2.0,Cremonese,1.2,1.0,66.0,,Lorenzo Pellegrini,3-4-3,Marco Piccinini,Match Report,,10.0,3.0,19.8,1.0,0.0,0.0,2023,Roma
34,2023-03-05,20:45,Serie A,Matchweek 25,Sun,Home,W,1.0,0.0,Juventus,0.6,0.8,41.0,,Lorenzo Pellegrini,3-4-3,Fabio Maresca,Match Report,,6.0,2.0,18.2,0.0,0.0,0.0,2023,Roma
36,2023-03-12,18:00,Serie A,Matchweek 26,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
38,2023-03-19,18:00,Serie A,Matchweek 27,Sun,Away,,,,Lazio,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
39,2023-04-02,18:00,Serie A,Matchweek 28,Sun,Home,,,,Sampdoria,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
40,2023-04-08,18:30,Serie A,Matchweek 29,Sat,Away,,,,Torino,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
41,2023-04-16,,Serie A,Matchweek 30,Sun,Home,,,,Udinese,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
42,2023-04-23,,Serie A,Matchweek 31,Sun,Away,,,,Atalanta,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
43,2023-04-30,,Serie A,Matchweek 32,Sun,Home,,,,Milan,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
44,2023-05-03,,Serie A,Matchweek 33,Wed,Away,,,,Monza,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
45,2023-05-07,,Serie A,Matchweek 34,Sun,Home,,,,Inter,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
46,2023-05-14,,Serie A,Matchweek 35,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
47,2023-05-21,,Serie A,Matchweek 36,Sun,Home,,,,Salernitana,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
48,2023-05-28,,Serie A,Matchweek 37,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
49,2023-06-04,,Serie A,Matchweek 38,Sun,Home,,,,Spezia,,,,,,,,Head-to-Head,,,,,,,,2023,Roma
0,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Home,W,4.0,2.0,Udinese,2.3,0.5,59.0,70197.0,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,,13.0,4.0,19.6,2.0,1.0,1.0,2023,Milan
1,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Away,D,1.0,1.0,Atalanta,1.3,0.5,60.0,19216.0,Davide Calabria,4-2-3-1,Fabio Maresca,Match Report,,18.0,7.0,20.3,0.0,0.0,0.0,2023,Milan
2,2022-08-27,20:45,Serie A,Matchweek 3,Sat,Home,W,2.0,0.0,Bologna,1.9,0.5,48.0,70430.0,Davide Calabria,4-2-3-1,Gianluca Manganiello,Match Report,,19.0,7.0,15.1,0.0,0.0,0.0,2023,Milan
3,2022-08-30,18:30,Serie A,Matchweek 4,Tue,Away,D,0.0,0.0,Sassuolo,0.7,1.1,62.0,18053.0,Theo Hernández,4-2-3-1,Giovanni Ayroldi,Match Report,,11.0,2.0,18.8,1.0,0.0,0.0,2023,Milan
4,2022-09-03,18:00,Serie A,Matchweek 5,Sat,Home,W,3.0,2.0,Inter,1.3,1.8,47.0,75475.0,Davide Calabria,4-2-3-1,Daniele Chiffi,Match Report,,21.0,5.0,16.7,1.0,0.0,0.0,2023,Milan
6,2022-09-10,20:45,Serie A,Matchweek 6,Sat,Away,W,2.0,1.0,Sampdoria,1.7,0.7,43.0,23049.0,Davide Calabria,4-2-3-1,Michael Fabbri,Match Report,,14.0,3.0,15.1,0.0,1.0,1.0,2023,Milan
8,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Napoli,2.6,1.4,51.0,72573.0,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,,22.0,5.0,13.8,1.0,0.0,0.0,2023,Milan
9,2022-10-01,20:45,Serie A,Matchweek 8,Sat,Away,W,3.0,1.0,Empoli,2.3,1.1,57.0,15497.0,Davide Calabria,4-2-3-1,Gianluca Aureliano,Match Report,,19.0,6.0,19.1,3.0,0.0,0.0,2023,Milan
11,2022-10-08,18:00,Serie A,Matchweek 9,Sat,Home,W,2.0,0.0,Juventus,2.2,0.8,40.0,75530.0,Theo Hernández,4-3-2-1,Daniele Orsato,Match Report,,21.0,3.0,17.0,0.0,0.0,0.0,2023,Milan
13,2022-10-16,20:45,Serie A,Matchweek 10,Sun,Away,W,2.0,1.0,Hellas Verona,1.9,2.1,54.0,22904.0,Theo Hernández,4-2-3-1,Davide Massa,Match Report,,16.0,6.0,19.7,0.0,0.0,0.0,2023,Milan
14,2022-10-22,18:00,Serie A,Matchweek 11,Sat,Home,W,4.0,1.0,Monza,1.1,1.2,49.0,72938.0,Theo Hernández,4-2-3-1,Livio Marinelli,Match Report,,12.0,7.0,17.1,0.0,0.0,0.0,2023,Milan
16,2022-10-30,20:45,Serie A,Matchweek 12,Sun,Away,L,1.0,2.0,Torino,1.1,0.6,56.0,26133.0,Theo Hernández,4-2-3-1,Rosario Abisso,Match Report,,12.0,1.0,20.9,1.0,0.0,0.0,2023,Milan
18,2022-11-05,20:45,Serie A,Matchweek 13,Sat,Home,W,2.0,1.0,Spezia,2.2,1.6,58.0,71099.0,Theo Hernández,4-2-3-1,Michael Fabbri,Match Report,,23.0,10.0,17.1,1.0,0.0,0.0,2023,Milan
19,2022-11-08,20:45,Serie A,Matchweek 14,Tue,Away,D,0.0,0.0,Cremonese,1.0,0.3,71.0,14610.0,Ismaël Bennacer,3-4-1-2,Antonio Rapuano,Match Report,,16.0,5.0,18.6,0.0,0.0,0.0,2023,Milan
20,2022-11-13,18:00,Serie A,Matchweek 15,Sun,Home,W,2.0,1.0,Fiorentina,1.5,0.5,50.0,73007.0,Theo Hernández,4-2-3-1,Simone Sozza,Match Report,,12.0,2.0,20.9,0.0,0.0,0.0,2023,Milan
21,2023-01-04,12:30,Serie A,Matchweek 16,Wed,Away,W,2.0,1.0,Salernitana,2.7,0.7,56.0,29541.0,Davide Calabria,4-2-3-1,Francesco Fourneau,Match Report,,16.0,10.0,16.7,1.0,0.0,0.0,2023,Milan
22,2023-01-08,20:45,Serie A,Matchweek 17,Sun,Home,D,2.0,2.0,Roma,0.9,1.2,60.0,74103.0,Davide Calabria,4-2-3-1,Davide Massa,Match Report,,12.0,5.0,17.3,1.0,0.0,0.0,2023,Milan
24,2023-01-14,18:00,Serie A,Matchweek 18,Sat,Away,D,2.0,2.0,Lecce,1.4,1.4,65.0,25942.0,Davide Calabria,4-2-3-1,Daniele Orsato,Match Report,,12.0,5.0,16.2,0.0,0.0,0.0,2023,Milan
26,2023-01-24,20:45,Serie A,Matchweek 19,Tue,Away,L,0.0,4.0,Lazio,0.7,3.1,50.0,,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,,10.0,3.0,20.4,1.0,0.0,0.0,2023,Milan
27,2023-01-29,12:30,Serie A,Matchweek 20,Sun,Home,L,2.0,5.0,Sassuolo,0.6,2.2,60.0,,Davide Calabria,4-2-3-1,Antonio Giua,Match Report,,9.0,5.0,18.9,0.0,0.0,0.0,2023,Milan
28,2023-02-05,20:45,Serie A,Matchweek 21,Sun,Away,L,0.0,1.0,Inter,0.3,0.9,36.0,,Davide Calabria,3-5-2,Davide Massa,Match Report,,4.0,0.0,21.6,2.0,0.0,0.0,2023,Milan
29,2023-02-10,20:45,Serie A,Matchweek 22,Fri,Home,W,1.0,0.0,Torino,1.3,0.8,46.0,,Theo Hernández,3-4-3,Giovanni Ayroldi,Match Report,,9.0,4.0,13.5,0.0,0.0,0.0,2023,Milan
31,2023-02-18,18:00,Serie A,Matchweek 23,Sat,Away,W,1.0,0.0,Monza,2.2,0.5,41.0,14012.0,Theo Hernández,3-4-3,Antonio Rapuano,Match Report,,14.0,7.0,13.9,0.0,0.0,0.0,2023,Milan
32,2023-02-26,20:45,Serie A,Matchweek 24,Sun,Home,W,2.0,0.0,Atalanta,1.8,0.1,48.0,,Theo Hernández,3-4-3,Maurizio Mariani,Match Report,,13.0,3.0,18.0,1.0,0.0,0.0,2023,Milan
33,2023-03-04,20:45,Serie A,Matchweek 25,Sat,Away,L,1.0,2.0,Fiorentina,0.9,2.1,52.0,40410.0,Theo Hernández,3-4-3,Marco Di Bello,Match Report,,8.0,6.0,16.0,1.0,0.0,0.0,2023,Milan
35,2023-03-13,20:45,Serie A,Matchweek 26,Mon,Home,,,,Salernitana,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
36,2023-03-18,20:45,Serie A,Matchweek 27,Sat,Away,,,,Udinese,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
37,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Away,,,,Napoli,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
38,2023-04-08,16:30,Serie A,Matchweek 29,Sat,Home,,,,Empoli,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
39,2023-04-16,,Serie A,Matchweek 30,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
40,2023-04-23,,Serie A,Matchweek 31,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
41,2023-04-30,,Serie A,Matchweek 32,Sun,Away,,,,Roma,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
42,2023-05-03,,Serie A,Matchweek 33,Wed,Home,,,,Cremonese,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
43,2023-05-07,,Serie A,Matchweek 34,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
44,2023-05-14,,Serie A,Matchweek 35,Sun,Away,,,,Spezia,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
45,2023-05-21,,Serie A,Matchweek 36,Sun,Home,,,,Sampdoria,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
46,2023-05-28,,Serie A,Matchweek 37,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
47,2023-06-04,,Serie A,Matchweek 38,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,,,,2023,Milan
0,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Away,W,2.0,0.0,Sampdoria,2.2,1.0,45.0,20047.0,Rafael Tolói,3-4-1-2,Federico Dionisi,Match Report,,9.0,3.0,14.4,0.0,0.0,0.0,2023,Atalanta
1,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Home,D,1.0,1.0,Milan,0.5,1.3,40.0,19216.0,Rafael Tolói,3-4-3,Fabio Maresca,Match Report,,11.0,2.0,18.9,0.0,0.0,0.0,2023,Atalanta
2,2022-08-28,18:30,Serie A,Matchweek 3,Sun,Away,W,1.0,0.0,Hellas Verona,0.8,0.5,51.0,16106.0,Rafael Tolói,3-4-3,Alessandro Prontera,Match Report,,15.0,7.0,18.9,0.0,0.0,0.0,2023,Atalanta
3,2022-09-01,20:45,Serie A,Matchweek 4,Thu,Home,W,3.0,1.0,Torino,2.9,0.4,41.0,17928.0,Rafael Tolói,3-4-3,Marco Di Bello,Match Report,,10.0,3.0,18.8,0.0,2.0,2.0,2023,Atalanta
4,2022-09-05,18:30,Serie A,Matchweek 5,Mon,Away,W,2.0,0.0,Monza,1.9,0.6,41.0,11970.0,Rafael Tolói,4-2-3-1,Juan Sacchi,Match Report,,13.0,6.0,15.2,0.0,0.0,0.0,2023,Atalanta
5,2022-09-11,12:30,Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Cremonese,0.7,0.6,58.0,18252.0,Rafael Tolói,3-4-3,Andrea Colombo,Match Report,,14.0,6.0,19.5,1.0,0.0,0.0,2023,Atalanta
6,2022-09-18,18:00,Serie A,Matchweek 7,Sun,Away,W,1.0,0.0,Roma,0.2,2.4,44.0,61335.0,Rafael Tolói,3-4-3,Daniele Chiffi,Match Report,,4.0,1.0,25.1,0.0,0.0,0.0,2023,Atalanta
7,2022-10-02,18:00,Serie A,Matchweek 8,Sun,Home,W,1.0,0.0,Fiorentina,1.3,0.7,39.0,18265.0,Rafael Tolói,3-4-1-2,Massimiliano Irrati,Match Report,,10.0,5.0,15.5,1.0,0.0,0.0,2023,Atalanta
8,2022-10-09,15:00,Serie A,Matchweek 9,Sun,Away,D,2.0,2.0,Udinese,2.1,1.0,41.0,24671.0,Marten de Roon,3-4-1-2,Daniele Doveri,Match Report,,8.0,4.0,18.5,2.0,1.0,1.0,2023,Atalanta
9,2022-10-15,20:45,Serie A,Matchweek 10,Sat,Home,W,2.0,1.0,Sassuolo,2.5,0.8,48.0,17772.0,Marten de Roon,3-4-1-2,Matteo Marcenaro,Match Report,,16.0,4.0,13.8,0.0,0.0,0.0,2023,Atalanta
10,2022-10-23,18:00,Serie A,Matchweek 11,Sun,Home,L,0.0,2.0,Lazio,0.8,0.9,47.0,18988.0,Marten de Roon,3-4-1-2,Rosario Abisso,Match Report,,7.0,0.0,14.1,0.0,0.0,0.0,2023,Atalanta
11,2022-10-30,12:30,Serie A,Matchweek 12,Sun,Away,W,2.0,0.0,Empoli,3.0,0.8,47.0,8740.0,Rafael Tolói,3-5-2,Giovanni Ayroldi,Match Report,,19.0,5.0,16.2,1.0,0.0,1.0,2023,Atalanta
12,2022-11-05,18:00,Serie A,Matchweek 13,Sat,Home,L,1.0,2.0,Napoli,2.0,1.3,47.0,19363.0,Rafael Tolói,3-4-1-2,Maurizio Mariani,Match Report,,15.0,3.0,19.5,0.0,1.0,1.0,2023,Atalanta
13,2022-11-09,18:30,Serie A,Matchweek 14,Wed,Away,L,1.0,2.0,Lecce,1.5,1.1,61.0,23797.0,Marten de Roon,3-4-3,Gianluca Aureliano,Match Report,,12.0,4.0,19.3,0.0,0.0,0.0,2023,Atalanta
14,2022-11-13,12:30,Serie A,Matchweek 15,Sun,Home,L,2.0,3.0,Inter,1.8,2.2,47.0,19353.0,Hans Hateboer,4-2-3-1,Daniele Chiffi,Match Report,,17.0,6.0,19.4,1.0,1.0,1.0,2023,Atalanta
15,2023-01-04,14:30,Serie A,Matchweek 16,Wed,Away,D,2.0,2.0,Spezia,2.1,1.5,64.0,7417.0,Rafael Tolói,3-4-1-2,Antonio Giua,Match Report,,19.0,3.0,13.2,0.0,0.0,0.0,2023,Atalanta
16,2023-01-09,20:45,Serie A,Matchweek 17,Mon,Away,W,2.0,1.0,Bologna,0.5,0.5,49.0,16953.0,Rafael Tolói,3-4-1-2,Marco Di Bello,Match Report,,7.0,3.0,16.6,0.0,0.0,0.0,2023,Atalanta
17,2023-01-15,18:00,Serie A,Matchweek 18,Sun,Home,W,8.0,2.0,Salernitana,2.9,1.0,57.0,18499.0,Rafael Tolói,3-4-3,Gianluca Aureliano,Match Report,,17.0,11.0,18.4,0.0,1.0,2.0,2023,Atalanta
19,2023-01-22,20:45,Serie A,Matchweek 19,Sun,Away,D,3.0,3.0,Juventus,1.0,1.9,53.0,,Rafael Tolói,3-4-3,Livio Marinelli,Match Report,,14.0,4.0,17.7,0.0,0.0,0.0,2023,Atalanta
20,2023-01-28,20:45,Serie A,Matchweek 20,Sat,Home,W,2.0,0.0,Sampdoria,1.8,0.8,61.0,,Rafael Tolói,3-4-3,Daniele Doveri,Match Report,,21.0,5.0,14.8,1.0,0.0,0.0,2023,Atalanta
22,2023-02-04,20:45,Serie A,Matchweek 21,Sat,Away,L,0.0,1.0,Sassuolo,0.5,1.3,47.0,,Rafael Tolói,3-5-2,Matteo Marcenaro,Match Report,,7.0,2.0,14.8,1.0,0.0,0.0,2023,Atalanta
23,2023-02-11,20:45,Serie A,Matchweek 22,Sat,Away,W,2.0,0.0,Lazio,3.0,0.9,41.0,,Rafael Tolói,3-5-2,Daniele Orsato,Match Report,,23.0,10.0,18.9,0.0,0.0,0.0,2023,Atalanta
24,2023-02-19,12:30,Serie A,Matchweek 23,Sun,Home,L,1.0,2.0,Lecce,1.5,0.5,70.0,,Rafael Tolói,3-4-1-2,Marco Piccinini,Match Report,,20.0,10.0,17.0,0.0,0.0,0.0,2023,Atalanta
25,2023-02-26,20:45,Serie A,Matchweek 24,Sun,Away,L,0.0,2.0,Milan,0.1,1.8,52.0,,Rafael Tolói,3-5-2,Maurizio Mariani,Match Report,,3.0,0.0,28.1,1.0,0.0,0.0,2023,Atalanta
26,2023-03-04,18:00,Serie A,Matchweek 25,Sat,Home,D,0.0,0.0,Udinese,1.4,0.3,67.0,,Rafael Tolói,3-4-3,Davide Ghersini,Match Report,,17.0,5.0,14.9,0.0,0.0,0.0,2023,Atalanta
27,2023-03-11,18:00,Serie A,Matchweek 26,Sat,Away,,,,Napoli,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
28,2023-03-17,20:45,Serie A,Matchweek 27,Fri,Home,,,,Empoli,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
29,2023-04-01,15:00,Serie A,Matchweek 28,Sat,Away,,,,Cremonese,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
30,2023-04-08,18:30,Serie A,Matchweek 29,Sat,Home,,,,Bologna,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
31,2023-04-16,,Serie A,Matchweek 30,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
32,2023-04-23,,Serie A,Matchweek 31,Sun,Home,,,,Roma,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
33,2023-04-30,,Serie A,Matchweek 32,Sun,Away,,,,Torino,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
34,2023-05-03,,Serie A,Matchweek 33,Wed,Home,,,,Spezia,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
35,2023-05-07,,Serie A,Matchweek 34,Sun,Home,,,,Juventus,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
36,2023-05-14,,Serie A,Matchweek 35,Sun,Away,,,,Salernitana,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
37,2023-05-21,,Serie A,Matchweek 36,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
38,2023-05-28,,Serie A,Matchweek 37,Sun,Away,,,,Inter,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
39,2023-06-04,,Serie A,Matchweek 38,Sun,Home,,,,Monza,,,,,,,,Head-to-Head,,,,,,,,2023,Atalanta
0,2022-08-15,20:45,Serie A,Matchweek 1,Mon,Home,W,3.0,0.0,Sassuolo,2.0,0.9,42.0,38725.0,Leonardo Bonucci,4-4-2,Antonio Rapuano,Match Report,,13.0,3.0,18.4,0.0,1.0,1.0,2023,Juventus
1,2022-08-22,20:45,Serie A,Matchweek 2,Mon,Away,D,0.0,0.0,Sampdoria,0.8,0.9,52.0,27573.0,Juan Cuadrado,4-3-3,Rosario Abisso,Match Report,,10.0,4.0,16.0,0.0,0.0,0.0,2023,Juventus
2,2022-08-27,18:30,Serie A,Matchweek 3,Sat,Home,D,1.0,1.0,Roma,0.6,1.3,57.0,41003.0,Juan Cuadrado,4-2-3-1,Massimiliano Irrati,Match Report,,14.0,3.0,23.6,3.0,0.0,0.0,2023,Juventus
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,W,2.0,0.0,Spezia,0.9,0.2,50.0,35709.0,Juan Cuadrado,4-3-3,Andrea Colombo,Match Report,,15.0,3.0,18.6,1.0,0.0,0.0,2023,Juventus
4,2022-09-03,15:00,Serie A,Matchweek 5,Sat,Away,D,1.0,1.0,Fiorentina,0.9,2.1,40.0,36550.0,Juan Cuadrado,4-3-3,Daniele Doveri,Match Report,,4.0,1.0,14.2,0.0,0.0,0.0,2023,Juventus
6,2022-09-11,20:45,Serie A,Matchweek 6,Sun,Home,D,2.0,2.0,Salernitana,1.9,1.6,61.0,35097.0,Leonardo Bonucci,4-3-3,Matteo Marcenaro,Match Report,,22.0,6.0,18.6,1.0,0.0,1.0,2023,Juventus
8,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Away,L,0.0,1.0,Monza,0.9,2.5,40.0,12878.0,Danilo,4-3-3,Fabio Maresca,Match Report,,10.0,2.0,12.9,0.0,0.0,0.0,2023,Juventus
9,2022-10-02,20:45,Serie A,Matchweek 8,Sun,Home,W,3.0,0.0,Bologna,1.8,0.4,48.0,34662.0,Leonardo Bonucci,4-4-2,Rosario Abisso,Match Report,,17.0,6.0,14.1,0.0,0.0,0.0,2023,Juventus
11,2022-10-08,18:00,Serie A,Matchweek 9,Sat,Away,L,0.0,2.0,Milan,0.8,2.2,60.0,75530.0,Leonardo Bonucci,4-4-2,Daniele Orsato,Match Report,,10.0,3.0,17.9,0.0,0.0,0.0,2023,Juventus
13,2022-10-15,18:00,Serie A,Matchweek 10,Sat,Away,W,1.0,0.0,Torino,2.1,0.6,47.0,22269.0,Juan Cuadrado,3-5-2,Maurizio Mariani,Match Report,,14.0,8.0,15.6,0.0,0.0,0.0,2023,Juventus
14,2022-10-21,20:45,Serie A,Matchweek 11,Fri,Home,W,4.0,0.0,Empoli,3.5,0.7,42.0,37771.0,Leonardo Bonucci,3-5-2,Michael Fabbri,Match Report,,21.0,7.0,14.3,1.0,0.0,0.0,2023,Juventus
16,2022-10-29,18:00,Serie A,Matchweek 12,Sat,Away,W,1.0,0.0,Lecce,0.6,0.2,64.0,25860.0,Juan Cuadrado,4-4-1-1,Daniele Chiffi,Match Report,,13.0,5.0,18.6,0.0,0.0,0.0,2023,Juventus
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Home,W,2.0,0.0,Inter,0.9,1.2,47.0,40093.0,Danilo,3-5-1-1,Daniele Doveri,Match Report,,8.0,3.0,16.0,0.0,0.0,0.0,2023,Juventus
19,2022-11-10,18:30,Serie A,Matchweek 14,Thu,Away,W,1.0,0.0,Hellas Verona,1.1,1.2,57.0,21934.0,Leonardo Bonucci,3-5-2,Marco Di Bello,Match Report,,11.0,3.0,18.6,1.0,0.0,0.0,2023,Juventus
20,2022-11-13,20:45,Serie A,Matchweek 15,Sun,Home,W,3.0,0.0,Lazio,1.6,0.4,41.0,38729.0,Danilo,3-5-2,Davide Massa,Match Report,,13.0,9.0,17.5,0.0,0.0,0.0,2023,Juventus
21,2023-01-04,18:30,Serie A,Matchweek 16,Wed,Away,W,1.0,0.0,Cremonese,1.6,0.9,55.0,14896.0,Danilo,3-5-1-1,Giovanni Ayroldi,Match Report,,19.0,8.0,19.0,1.0,0.0,0.0,2023,Juventus
22,2023-01-07,18:00,Serie A,Matchweek 17,Sat,Home,W,1.0,0.0,Udinese,2.4,0.5,51.0,39536.0,Danilo,3-5-1-1,Matteo Marchetti,Match Report,,14.0,4.0,12.9,0.0,0.0,0.0,2023,Juventus
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Away,L,1.0,5.0,Napoli,1.3,2.1,40.0,60000.0,Danilo,3-5-2,Daniele Doveri,Match Report,,11.0,2.0,18.0,0.0,0.0,0.0,2023,Juventus
25,2023-01-22,20:45,Serie A,Matchweek 19,Sun,Home,D,3.0,3.0,Atalanta,1.9,1.0,47.0,,Danilo,3-5-1-1,Livio Marinelli,Match Report,,14.0,7.0,19.2,0.0,1.0,1.0,2023,Juventus
26,2023-01-29,15:00,Serie A,Matchweek 20,Sun,Home,L,0.0,2.0,Monza,1.6,1.2,46.0,,Danilo,3-5-2,Gianluca Aureliano,Match Report,,22.0,8.0,17.6,0.0,0.0,0.0,2023,Juventus
28,2023-02-07,20:45,Serie A,Matchweek 21,Tue,Away,W,3.0,0.0,Salernitana,2.2,0.8,47.0,,Danilo,3-5-2,Antonio Rapuano,Match Report,,16.0,4.0,18.9,0.0,1.0,1.0,2023,Juventus
29,2023-02-12,18:00,Serie A,Matchweek 22,Sun,Home,W,1.0,0.0,Fiorentina,1.0,0.7,45.0,34844.0,Danilo,3-4-3,Michael Fabbri,Match Report,,7.0,3.0,12.7,0.0,0.0,0.0,2023,Juventus
31,2023-02-19,18:00,Serie A,Matchweek 23,Sun,Away,W,2.0,0.0,Spezia,1.4,1.2,41.0,,Danilo,3-1-4-2,Federico La Penna,Match Report,,15.0,3.0,18.8,0.0,0.0,0.0,2023,Juventus
33,2023-02-28,20:45,Serie A,Matchweek 24,Tue,Home,W,4.0,2.0,Torino,1.6,0.8,42.0,,Danilo,3-5-1-1,Daniele Chiffi,Match Report,,13.0,6.0,15.1,1.0,0.0,0.0,2023,Juventus
